2020-01-24 11:19:23.994447  &2400,80,3009,0,55986,21760,12646,100,15875,1&2401,80,3009,0,55986,21760,12646,100,15875,1&2402,80,3009,0,55986,21760,12646,100,15875,1&2403,80,3009,0,55986,21760,12646,100,15875,1&2404,80,3009,0,55986,21760,12646,100,15875,1&2405,80,3009,0,55986,21760,12646,100,15875,1&0,0,0,0,0,0,0,0,0,0&0,0,0,0,0,0,0,0,0,0
2020-01-24 11:19:25.503948  &2400,80,3009,0,55986,21760,12646,100,15875,1&2401,80,3009,0,55986,21760,12646,100,15875,1&2402,80,3009,0,55986,21760,12646,100,15875,1&2403,80,3009,0,55986,21760,12646,100,15875,1&2404,80,3009,0,55986,21760,12646,100,15875,1&2405,80,3009,0,55986,21760,12646,100,15875,1&0,0,0,0,0,0,0,0,0,0&0,0,0,0,0,0,0,0,0,0
2020-01-24 11:19:27.013594  &2400,80,3009,0,55986,21760,12646,100,15875,1&2401,80,3009,0,55986,21760,12646,100,15875,1&2402,80,3009,0,55986,21760,12646,100,15875,1&2403,80,3009,0,55986,21760,12646,100,15875,1&2404,80,3009,0,55986,21760,12646,100,15875,1&2405,80,3009,0,55986,21760,12646,100,15875,1&0,0,0,0,0,0,0,0,0,0&0,0,0,0,0,0,0,0,0,0
2020-01-24 11:19:28.522898  &2400,80,3009,0,55986,21760,12646,100,15875,1&2401,80,3009,0,55986,21760,12646,100,15875,1&2402,80,3009,0,55986,21760,12646,100,15875,1&2403,80,3009,0,55986,21760,12646,100,15875,1&2404,80,3009,0,55986,21760,12646,100,15875,1&2405,80,3009,0,55986,21760,12646,100,15875,1&0,0,0,0,0,0,0,0,0,0&0,0,0,0,0,0,0,0,0,0
2020-01-24 11:19:30.036318  &2400,80,3009,0,55986,21760,12646,100,15875,1&2401,80,3009,0,55986,21760,12646,100,15875,1&2402,80,3009,0,55986,21760,12646,100,15875,1&2403,80,3009,0,55986,21760,12646,100,15875,1&2404,80,3009,0,55986,21760,12646,100,15875,1&2405,80,3009,0,55986,21760,12646,100,15875,1&0,0,0,0,0,0,0,0,0,0&0,0,0,0,0,0,0,0,0,0
2020-01-24 11:19:31.548283  &2400,80,3009,0,55986,21760,12646,100,15875,1&2401,80,3009,0,55986,21760,12646,100,15875,1&2402,80,3009,0,55986,21760,12646,100,15875,1&2403,80,3009,0,55986,21760,12646,100,15875,1&2404,80,3009,0,55986,21760,12646,100,15875,1&2405,80,3009,0,55986,21760,12646,100,15875,1&0,0,0,0,0,0,0,0,0,0&0,0,0,0,0,0,0,0,0,0
2020-01-24 11:19:33.062017  &2400,80,3009,0,55986,21760,12646,100,15875,1&2401,80,3009,0,55986,21760,12646,100,15875,1&2402,80,3009,0,55986,21760,12646,100,15875,1&2403,80,3009,0,55986,21760,12646,100,15875,1&2404,80,3009,0,55986,21760,12646,100,15875,1&2405,80,3009,0,55986,21760,12646,100,15875,1&0,0,0,0,0,0,0,0,0,0&0,0,0,0,0,0,0,0,0,0
2020-01-24 11:19:34.574662  &2400,80,3009,0,55986,21760,12646,100,15875,1&2401,80,3009,0,55986,21760,12646,100,15875,1&2402,80,3009,0,55986,21760,12646,100,15875,1&2403,80,3009,0,55986,21760,12646,100,15875,1&2404,80,3009,0,55986,21760,12646,100,15875,1&2405,80,3009,0,55986,21760,12646,100,15875,1&0,0,0,0,0,0,0,0,0,0&0,0,0,0,0,0,0,0,0,0
2020-01-24 11:19:36.086255  &2400,80,3009,0,55986,21760,12646,100,15875,1&2401,80,3009,0,55986,21760,12646,100,15875,1&2402,80,3009,0,55986,21760,12646,100,15875,1&2403,80,3009,0,55986,21760,12646,100,15875,1&2404,80,3009,0,55986,21760,12646,100,15875,1&2405,80,3009,0,55986,21760,12646,100,15875,1&0,0,0,0,0,0,0,0,0,0&0,0,0,0,0,0,0,0,0,0
2020-01-24 11:19:37.601399  &2400,80,3009,0,55986,21760,12646,100,15875,1&2401,80,3009,0,55986,21760,12646,100,15875,1&2402,80,3009,0,55986,21760,12646,100,15875,1&2403,80,3009,0,55986,21760,12646,100,15875,1&2404,80,3009,0,55986,21760,12646,100,15875,1&2405,80,3009,0,55986,21760,12646,100,15875,1&0,0,0,0,0,0,0,0,0,0&0,0,0,0,0,0,0,0,0,0
